target_name,city,state,dance_form,website_url,contact_page_url,public_business_email,official_public_phone,phone_use_policy,preferred_contact_channel,source_url,outreach_priority,arangetram_rangapravesam_relevance,compliance_notes
"Nrityakalya Dance Company","Cupertino","CA","Bharatanatyam","https://www.nrityakalya.org/","https://www.nrityakalya.org/","","","not collected","contact form or website inquiry","https://www.nrityakalya.org/","Medium","Official site presents Bharatanatyam programming in Cupertino; useful cultural/dance target.","Official organization page only; no student/parent/private data collected."
"Kalanjali Dances of India","Berkeley","CA","Bharatanatyam / Indian classical dance","https://kalanjalidancesofindia.com/contact-us/","https://kalanjalidancesofindia.com/contact-us/","katherine.kalanjali@gmail.com","(510) 526-2183","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","https://kalanjalidancesofindia.com/contact-us/","Medium","Official contact page for Indian classical dance organization; useful educator/cultural target.","Official contact page only; no student/parent/private data collected."
"Kuchipudi Kalakshetra","Frisco / Coppell / Little Elm","TX","Kuchipudi","https://www.kuchipudikalakshetra.com/contact","https://www.kuchipudikalakshetra.com/contact","dfw.kuchipudi@gmail.com","972.596.2555","manual-use only; do not use for SMS/cold-call automation","public business email","https://www.kuchipudikalakshetra.com/contact","High","Official contact page for DFW Kuchipudi school with multiple locations; strong rangapravesam target.","Official school/contact page only; no student/parent/private data collected."
"Sai Nritya Academy","Frisco / McKinney / Plano","TX","Kuchipudi","https://www.sainrityaacademy.com/","https://www.sainrityaacademy.com/contact","snadfw@gmail.com","(713) 679-4842","manual-use only; do not use for SMS/cold-call automation","public business email","https://www.sainrityaacademy.com/","High","Official Kuchipudi school in DFW area; strong rangapravesam outreach fit.","Official school page only; no student/parent/private data collected."
"Mythili Dance Academy","Frisco / Prosper","TX","Bharatanatyam","https://mythilidance.com/contact/","https://mythilidance.com/contact/","nritya1@hotmail.com","+1 (469) 910 2559","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","https://mythilidance.com/contact/","High","Official contact page says premiere Bharatanatyam school with long training history; strong arangetram planning fit.","Official school/contact page only; no student/parent/private data collected."
"Ragamayuri School of Dance and Yoga","Frisco / McKinney","TX","Bharatanatyam","https://ragamayuri.com/contact_us.html","https://ragamayuri.com/contact_us.html","info@ragamayuri.com","248-935-5946","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","https://ragamayuri.com/contact_us.html","Medium","Official contact page says school trains Bharatanatyam students; relevant DFW-area target.","Official school/contact page only; no student/parent/private data collected."
"Arathi School of Dance","Dallas","TX","Bharatanatyam","https://www.arathidancedallas.com/school.html","https://www.arathidancedallas.com/school.html","","","not collected","contact form or website inquiry","https://www.arathidancedallas.com/school.html","Medium","Official site describes Dallas Bharatanatyam school founded in 1980; relevant established teacher target.","Official school page only; no student/parent/private data collected."
"Tatya Performing Arts","Dallas area","TX","Bharatanatyam","https://www.tatyaperformingarts.org/contact","https://www.tatyaperformingarts.org/contact","","","not collected","contact form","https://www.tatyaperformingarts.org/contact","High","Official contact page references Bharatanatyam and an Arangetram 2021 item; strong arangetram relevance.","Official organization/contact page only; no student/parent/private data collected."
"Rati Dance Academy","Chantilly / Germantown","VA / MD","Kuchipudi","https://www.ratidanceacademy.com/contact","https://www.ratidanceacademy.com/contact","RatiDanceAcademy@gmail.com","(240) 354-6859","manual-use only; do not use for SMS/cold-call automation","public business email","https://www.ratidanceacademy.com/contact","High","Official contact page for Kuchipudi school with VA/MD locations; strong rangapravesam target.","Official school/contact page only; no student/parent/private data collected."
"Sattvika Dance Academy","Denville / Paramus / Eastchester","NJ / NY","Bharatanatyam; Kuchipudi; Mohiniyattam; Kerala Natanam; Folk","https://www.sattvikadanceacademy.com/contact-us","https://www.sattvikadanceacademy.com/contact-us","sattvikaacademy@outlook.com","551-587-3481","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","https://www.sattvikadanceacademy.com/contact-us","High","Official contact page lists Bharatanatyam and Kuchipudi at all locations; strong dual-form outreach fit.","Official school/contact page only; no student/parent/private data collected."
"Nritya Creations Academy of Dance","East Windsor / Iselin / Edison / NJ locations","NJ","Bharatanatyam; Kathak; Bollywood; Fusion","https://nrityacreations.com/","https://nrityacreations.com/","manager.nrityacreations@gmail.com","+1 (732) 598-7079","manual-use only; do not use for SMS/cold-call automation","public business email or contact form","https://nrityacreations.com/","Medium","Official site offers Bharatanatyam across multiple NJ locations; useful large-school target.","Official school page only; no student/parent/private data collected."
"Sriyam Institute of Indian Dance, Music & Culture","Central New Jersey","NJ","Bharatanatyam","https://sriyam.org/","https://sriyam.org/","","","not collected","contact form or website inquiry","https://sriyam.org/","Medium","Official site identifies NJ dance school training students in Bharatanatyam; relevant NJ target.","Official school page only; no student/parent/private data collected."
"Shivajyothi Dance Academy","Edison / Parsippany","NJ","Bharatanatyam","https://www.shivajyothidanceacademy.com/","https://www.shivajyothidanceacademy.com/","","718-275-0159","manual-use only; do not use for SMS/cold-call automation","contact form or manual phone only if appropriate","https://www.shivajyothidanceacademy.com/","Medium","Official site lists Bharatanatyam classes in Edison and Parsippany; relevant NJ teacher target.","Official school page only; no student/parent/private data collected."
"Arudhra Saai Natyashala","Iselin / Monroe","NJ","Bharatanatyam","https://arudhrasaai.com/","https://arudhrasaai.com/","","","not collected","contact form","https://arudhrasaai.com/","High","Official site includes Arangetram Highlights and Bharatanatyam programs in NJ; strong arangetram relevance.","Official school page only; no student/parent/private data collected."
"Nrityalina Center for Performing Arts","New Jersey","NJ","Bharatanatyam; Kathak; classical dance","https://www.nrityalina.com/","https://www.nrityalina.com/","","","not collected","contact form","https://www.nrityalina.com/","High","Official site includes Bharatanatyam and Arangetram Diaries 2025; strong arangetram relevance.","Official school page only; no student/parent/private data collected."
"Bharatha Arangam Dance Institute","New Jersey","NJ","Bharatanatyam","https://bharathaarangam.com/","https://bharathaarangam.com/","","","not collected","contact form or website inquiry","https://bharathaarangam.com/","High","Official site discusses full Bharatanatyam recital repertoire; strong arangetram checklist fit.","Official school page only; no student/parent/private data collected."
"Kalakriti Dance School","Mount Prospect / Old Bridge","IL / NJ","Bharatanatyam; Kuchipudi fusion programming","https://kalakritidance.com/","https://kalakritidance.com/","","","not collected","contact form","https://kalakritidance.com/","Medium","Official site has Chicago and NJ locations and mentions Bharatanatyam/Kuchipudi programming; useful cross-region target.","Official school page only; no student/parent/private data collected."
"Kala Upasana Music and Dance Academy","New Jersey","NJ","Bharatanatyam; Carnatic music","https://kalaupasana.com/","https://kalaupasana.com/","","","not collected","contact form or website inquiry","https://kalaupasana.com/","Medium","Official site offers Bharatanatyam and music in NJ; relevant academy target.","Official school page only; no student/parent/private data collected."
"Bharata Kala Nrityakshetra","Somerset","NJ","Bharatanatyam","https://www.barathanatyam.com/","https://www.barathanatyam.com/","","","not collected","contact form or website inquiry","https://www.barathanatyam.com/","Medium","Official site for Bharatanatyam school in Somerset; relevant NJ arangetram ecosystem target.","Official school page only; no student/parent/private data collected."
"Samaya Arts Academy","Central New Jersey","NJ","Bharatanatyam","https://www.samayaartsacademy.com/","https://www.samayaartsacademy.com/","","","not collected","contact form or website inquiry","https://www.samayaartsacademy.com/","Medium","Official site says classes are taught in Vazhuvoor style Bharatanatyam; relevant NJ target.","Official school page only; no student/parent/private data collected."
"Adhyaathma School of Performing Arts","New Jersey","NJ","Bharatanatyam","https://adhyaathma.com/","https://adhyaathma.com/","","","not collected","contact form or website inquiry","https://adhyaathma.com/","Medium","Official site presents a performing arts school teaching Bharatanatyam in NJ; relevant target.","Official school page only; no student/parent/private data collected."
"Triveni School of Dance","Brookline / Boston","MA","Indian classical dance; Bharatanatyam-relevant","https://www.trivenidance.org/contact","https://www.trivenidance.org/contact","","(617) 232-5485","manual-use only; do not use for SMS/cold-call automation","contact form","https://www.trivenidance.org/contact","High","Official contact page for established Boston Indian classical dance school; strong teacher/institution target.","Official school/contact page only; no student/parent/private data collected."
"Noopur Nritya Academy","Attleboro","MA","Bharatanatyam","https://www.noopurnritya.com/","https://www.noopurnritya.com/","","","not collected","contact form or website inquiry","https://www.noopurnritya.com/","Medium","Official site identifies Bharatanatyam academy in New England founded in 2007; relevant target.","Official school page only; no student/parent/private data collected."
"Hasta Dance School","Medway","MA","Bharatanatyam","https://www.hastadanceschool.com/","https://www.hastadanceschool.com/","priya@hastadanceschool.com","812 391 5985","manual-use only; do not use for SMS/cold-call automation","public business email","https://www.hastadanceschool.com/","Medium","Official site teaches Bharatanatyam in Medway; relevant New England target.","Official school page only; no student/parent/private data collected."
"Center for Arts and Wellness","Massachusetts","MA","Bharatanatyam; Hindustani vocal","https://www.centerforartsandwellness.com/","https://www.centerforartsandwellness.com/","centerforartswellness@gmail.com","","not collected","public business email","https://www.centerforartsandwellness.com/","Medium","Official site offers Bharatanatyam classes and cultural events; useful regional target.","Official organization page only; no student/parent/private data collected."
"Sri Kuchipudi Natyalaya","New England / Foxboro area","MA","Kuchipudi","https://kuchipudiboston.com/","https://kuchipudiboston.com/","admin@kuchipudiboston.com","7814922146","manual-use only; do not use for SMS/cold-call automation","public business email","https://kuchipudiboston.com/","High","Official site identifies pioneering New England Kuchipudi institute; strong rangapravesam fit.","Official school page only; no student/parent/private data collected."
"Bharathakalai School of Dance","Massachusetts","MA","Bharatanatyam","https://www.bharathakalaischoolofdance.org/","https://www.bharathakalaischoolofdance.org/","","","not collected","contact form or website inquiry","https://www.bharathakalaischoolofdance.org/","Medium","Official site identifies Bharatanatyam school with long community service history; relevant teacher target.","Official school page only; no student/parent/private data collected."
"Kalamandapam Kuchipudi Dance School","Sammamish","WA","Kuchipudi","https://www.kkdssammamish.com/contact","https://www.kkdssammamish.com/contact","","","not collected","contact form","https://www.kkdssammamish.com/contact","High","Official contact page for Kuchipudi school in Sammamish; strong rangapravesam target.","Official school/contact page only; no student/parent/private data collected."
"Spandana Classical Arts","Bothell / Seattle area","WA","Bharatanatyam","https://manaswini.com/contact/","https://manaswini.com/contact/","","(971) 910-4042","manual-use only; do not use for SMS/cold-call automation","contact form or manual phone only if appropriate","https://manaswini.com/contact/","Medium","Official contact page for Seattle-area Bharatanatyam classes; useful target.","Official school/contact page only; email was obfuscated in crawl, so not collected."
"Alapadma","Redmond / Bothell / Bellevue","WA","Bharatanatyam; Mohiniyattam","https://www.alapadma.net/about","https://www.alapadma.net/about","anu@alapadma.net","","not collected","public business email","https://www.alapadma.net/about","Medium","Official site offers Bharatanatyam in greater Seattle area; relevant school target.","Official school page only; no student/parent/private data collected."
"Nrityalaya School of Dance","Seattle area","WA","Bharatanatyam","https://nrityalayadance.net/","https://nrityalayadance.net/","vidya@nrityalayadance.net","425-241-5425","manual-use only; do not use for SMS/cold-call automation","public business email","https://nrityalayadance.net/","High","Official site lists graduate performances and arangetram years; strong arangetram relevance.","Official school page only; no student/parent/private data collected."
"Naatyalahari","Redmond","WA","Bharatanatyam","https://naatyalahari.com/","https://naatyalahari.com/","","","not collected","contact form or website inquiry","https://naatyalahari.com/","Medium","Official site offers online and in-person Bharatanatyam classes in Redmond; relevant target.","Official school page only; no student/parent/private data collected."
"Shivakanya Natyalaya","Mill Creek","WA","Bharatanatyam","https://ramyashastry.com/","https://ramyashastry.com/","","","not collected","contact form or website inquiry","https://ramyashastry.com/","Medium","Official site presents Bharatanatyam dance school in Mill Creek; relevant Washington target.","Official school page only; no student/parent/private data collected."
